x y
292.7535 682.7305
293.9685 680.6108
295.1836 679.714
296.3986 677.839
298.2616 677.5129
299.1527 678.4912
299.4767 679.0618
300.6917 679.0618
302.7978 678.4912
304.0128 677.5129
305.2278 676.6161
307.3339 676.29
309.5209 676.0454
311.303 675.0671
312.194 675.7193
313.4091 676.6161
314.6241 676.9422
316.1631 676.6161
317.0542 675.0671
318.2692 674.8225
320.4562 674.4964
321.6713 674.4964
322.5623 675.3932
324.1013 675.3932
325.8834 675.3932
327.0984 674.4964
327.9894 673.5996
329.5285 672.3768
330.4195 671.1539
332.6066 670.5017
335.0366 669.6049
337.1427 670.1756
338.3577 671.1539
339.8968 672.3768
341.3548 673.2735
343.2179 673.5996
344.4329 675.3932
344.7569 676.9422
345.9719 677.839
346.5389 679.388
346.8630 680.6108
348.402 681.8337
348.969 682.7305
350.5081 683.3827
351.3991 683.3827
352.2901 682.7305
354.1532 683.0566
354.7202 683.3827
355.6922 683.6272
357.7983 683.6272
359.0133 682.7305
360.2283 681.8337
361.4434 680.2847
362.3344 679.388
362.9824 678.4912
363.2254 677.839
362.9824 676.29
362.3344 675.7193
363.8734 675.3932
365.6555 676.6161
367.5185 676.6161
369.0576 676.0454
370.2726 674.8225
372.3786 673.5996
373.2697 672.0507
374.8087 671.7246
375.6997 671.1539
376.5908 670.1756
377.2388 669.6049
377.2388 668.0559
378.4538 667.7298
380.2359 667.7298
382.0989 667.4853
383.3139 667.4853
383.6380 668.382
385.42 668.9527
386.635 668.7081
387.2831 667.1592
388.7411 666.507
390.6041 666.833
391.4952 666.2624
391.1712 664.7134
391.4952 663.1644
393.3582 662.8383
394.2492 661.9415
394.8163 660.148
395.1403 658.9251
395.4643 657.9468
396.0313 656.4794
397.2463 655.501
397.5703 655.501
397.2463 653.8705
399.4334 652.077
399.6764 649.8758
399.6764 648.653
402.4305 645.3104
404.2935 642.8646
406.9666 640.745
407.9386 637.9731
409.7207 636.1796
412.1507 635.5274
413.6898 633.4077
413.6898 632.1848
415.2288 632.7555
417.6589 632.511
420.0889 630.6359
421.304 628.5162
421.547 625.4183
421.871 623.6247
423.086 623.2986
423.086 620.8528
423.734 618.7332
424.3011 616.6135
424.9491 613.1895
425.5161 611.3959
424.9491 609.5208
423.734 607.7273
423.734 605.2815
423.977 603.7326
425.5161 602.8358
427.3791 600.39
426.7311 597.9443
426.1641 596.3953
426.1641 593.6234
427.3791 592.156
428.5942 590.2809
428.5942 588.4873
429.4852 587.2645
429.8092 585.7155
429.1612 583.2697
429.1612 581.7208
429.1612 580.1718
428.8372 579.275
430.3762 578.9489
431.0242 576.5031
431.2672 575.2803
432.8063 573.1606
433.6973 571.6116
434.0213 569.8181
435.2363 567.6984
435.5604 566.1494
434.0213 563.3776
434.9123 564.0298
436.7754 565.2527
437.9904 563.3776
439.2055 561.8286
439.5295 559.709
438.8814 556.9371
438.8814 554.8174
439.5295 553.0239
439.7725 551.1488
440.0965 549.3553
440.9875 547.8063
442.5265 546.5834
442.5265 544.7083
442.5265 542.9148
442.8506 541.3658
444.0656 538.3494
445.6046 536.1482
447.0627 534.6807
449.8167 532.4795
451.3558 531.5828
451.6798 527.5065
451.9228 525.9575
452.8948 524.4901
452.8948 522.2889
451.9228 520.1692
450.4648 518.0496
450.4648 517.3974
452.5708 520.1692
453.4618 522.2889
455.0009 524.4901
455.8919 522.9411
458.646 522.615
461.076 520.8214
463.1821 519.2725
465.0452 518.6203
466.8272 518.6203
469.5813 517.7235
472.0113 517.1528
474.4414 516.8267
477.4385 515.6038
479.3015 514.0548
480.1926 512.5059
481.7316 512.2613
483.2706 511.6091
484.4857 510.7123
486.2677 508.8372
488.3738 508.5927
491.7759 506.3915
492.9909 505.1686
494.2059 503.7011
493.5579 501.5
495.421 499.7064
497.203 498.8096
498.7421 496.0378
499.9571 493.2659
500.5241 490.4941
501.7391 487.8037
502.9542 485.0319
503.2782 482.9122
506.0323 480.711
508.4623 479.8143
510.5684 478.9175
510.0014 476.1456
510.3254 476.0641
511.5404 474.189
513.3225 472.9661
515.7525 472.3955
518.1826 471.4172
520.0456 470.1943
522.1517 469.2975
523.0427 467.7485
521.2607 466.2811
518.5066 465.955
516.4005 464.7321
515.7525 462.2863
514.8615 459.5145
515.4285 457.0687
516.0765 453.4001
516.9676 450.3837
517.8586 447.2857
519.3976 443.9432
521.5037 440.6006
523.3667 437.5027
526.1208 433.8341
527.9029 430.4915
529.4419 428.3719
531.548 426.4968
533.978 423.7249
535.5171 421.0346
537.0561 418.5888
538.2711 416.1431
539.4862 414.268
540.0532 411.2516
538.5141 408.4797
538.2711 409.0504
539.1622 411.2516
538.8381 412.719
537.0561 414.9202
534.869 415.817
531.548 415.817
529.4419 414.5941
526.6878 413.6973
524.2578 414.268
522.1517 415.817
519.3976 418.5888
516.9676 420.7085
514.8615 424.051
511.7834 425.9261
509.1103 425.6
506.6803 424.3771
503.2782 423.7249
500.6051 422.8282
497.851 422.5021
496.312 421.9314
494.2059 421.9314
491.7759 423.4804
489.3458 423.7249
487.4828 423.4804
485.7007 421.9314
483.5947 420.7085
482.9466 419.4856
485.3767 420.0563
486.9157 421.6053
489.0218 422.2575
490.8849 421.2792
492.0999 419.4856
494.5299 418.8334
496.96 418.5888
498.4181 419.8117
501.1721 420.0563
503.2782 420.7085
506.0323 421.0346
509.1103 421.6053
511.5404 422.2575
513.9705 418.5888
515.7525 416.1431
518.8306 413.3712
521.5037 411.2516
523.3667 408.4797
527.0118 408.4797
529.4419 405.7079
532.196 402.936
532.763 402.0392
534.302 401.7131
535.5171 400.2457
536.7321 398.6967
540.0532 398.6967
542.4832 396.5770
542.1592 396.3325
544.0223 392.9084
545.4803 390.4627
545.8043 387.7723
547.6674 385.5711
549.1254 381.9025
550.0975 379.4567
551.5555 376.4403
553.0945 373.3424
553.7425 369.4292
554.3096 367.228
555.2006 364.2115
554.9576 361.1136
554.9576 358.0971
553.9856 356.2221
552.7705 354.1024
